episode,random_reward,ppo_reward,improvement
1,-45.330424401721665,-26.889640952728655,18.44078344899301
2,-43.018350196024045,-30.429499071106243,12.588851124917802
3,-42.18624995538752,-26.984793019359202,15.201456936028315
4,-44.208460712035006,-35.1684393238949,9.040021388140104
5,-40.02020453198761,-27.826587241418192,12.193617290569417
6,-53.017732725995785,-36.18982698043449,16.827905745561296
7,-42.32855391566039,-28.4311126150659,13.897441300594494
8,-48.65494566227427,-31.739093343008516,16.915852319265756
9,-34.781933288308885,-28.461333220061974,6.320600068246911
10,-44.54046534086839,-29.171298279700196,15.369167061168191
